    | Name                                                 | Type             | Params
84  | model.encoder.DANSwan_blocks.8                       | DANSwanBlock     | 74.1 K
85  | model.encoder.DANSwan_blocks.8.prenorm               | Identity         | 0
86  | model.encoder.DANSwan_blocks.8.norm                  | Identity         | 0
87  | model.encoder.DANSwan_blocks.8.column_transform      | Mlp              | 74.1 K
88  | model.encoder.DANSwan_blocks.8.column_transform.fc1  | Linear           | 37.1 K
89  | model.encoder.DANSwan_blocks.8.column_transform.act  | GELU             | 0
90  | model.encoder.DANSwan_blocks.8.column_transform.fc2  | Linear           | 37.0 K
91  | model.encoder.DANSwan_blocks.8.column_transform.drop | Dropout          | 0
92  | model.encoder.DANSwan_blocks.8.dropout               | Dropout          | 0
93  | model.encoder.DANSwan_blocks.8.shift                 | CircularShift    | 0
94  | model.encoder.DANSwan_blocks.9                       | DANSwanBlock     | 74.1 K
95  | model.encoder.DANSwan_blocks.9.prenorm               | Identity         | 0
96  | model.encoder.DANSwan_blocks.9.norm                  | Identity         | 0
97  | model.encoder.DANSwan_blocks.9.column_transform      | Mlp              | 74.1 K
98  | model.encoder.DANSwan_blocks.9.column_transform.fc1  | Linear           | 37.1 K
99  | model.encoder.DANSwan_blocks.9.column_transform.act  | GELU             | 0
100 | model.encoder.DANSwan_blocks.9.column_transform.fc2  | Linear           | 37.0 K
101 | model.encoder.DANSwan_blocks.9.column_transform.drop | Dropout          | 0
102 | model.encoder.DANSwan_blocks.9.dropout               | Dropout          | 0
103 | model.encoder.DANSwan_blocks.9.shift                 | CircularShift    | 0
104 | model.cm_clf                                         | DANSwanEncoder   | 888 K
105 | model.cm_clf.DANSwan_blocks                          | ModuleList       | 888 K
106 | model.cm_clf.DANSwan_blocks.0                        | DANSwanBlock     | 88.9 K
107 | model.cm_clf.DANSwan_blocks.0.prenorm                | Identity         | 0
108 | model.cm_clf.DANSwan_blocks.0.norm                   | Identity         | 0
109 | model.cm_clf.DANSwan_blocks.0.column_transform       | Mlp              | 88.9 K
110 | model.cm_clf.DANSwan_blocks.0.column_transform.fc1   | Linear           | 44.5 K
111 | model.cm_clf.DANSwan_blocks.0.column_transform.act   | GELU             | 0
112 | model.cm_clf.DANSwan_blocks.0.column_transform.fc2   | Linear           | 44.4 K
113 | model.cm_clf.DANSwan_blocks.0.column_transform.drop  | Dropout          | 0
114 | model.cm_clf.DANSwan_blocks.0.dropout                | Dropout          | 0
115 | model.cm_clf.DANSwan_blocks.0.shift                  | CircularShift    | 0
116 | model.cm_clf.DANSwan_blocks.1                        | DANSwanBlock     | 88.9 K
117 | model.cm_clf.DANSwan_blocks.1.prenorm                | Identity         | 0
118 | model.cm_clf.DANSwan_blocks.1.norm                   | Identity         | 0
119 | model.cm_clf.DANSwan_blocks.1.column_transform       | Mlp              | 88.9 K
120 | model.cm_clf.DANSwan_blocks.1.column_transform.fc1   | Linear           | 44.5 K
121 | model.cm_clf.DANSwan_blocks.1.column_transform.act   | GELU             | 0
122 | model.cm_clf.DANSwan_blocks.1.column_transform.fc2   | Linear           | 44.4 K
123 | model.cm_clf.DANSwan_blocks.1.column_transform.drop  | Dropout          | 0
124 | model.cm_clf.DANSwan_blocks.1.dropout                | Dropout          | 0
125 | model.cm_clf.DANSwan_blocks.1.shift                  | CircularShift    | 0
126 | model.cm_clf.DANSwan_blocks.2                        | DANSwanBlock     | 88.9 K
127 | model.cm_clf.DANSwan_blocks.2.prenorm                | Identity         | 0
128 | model.cm_clf.DANSwan_blocks.2.norm                   | Identity         | 0
129 | model.cm_clf.DANSwan_blocks.2.column_transform       | Mlp              | 88.9 K
130 | model.cm_clf.DANSwan_blocks.2.column_transform.fc1   | Linear           | 44.5 K
131 | model.cm_clf.DANSwan_blocks.2.column_transform.act   | GELU             | 0
132 | model.cm_clf.DANSwan_blocks.2.column_transform.fc2   | Linear           | 44.4 K
133 | model.cm_clf.DANSwan_blocks.2.column_transform.drop  | Dropout          | 0
134 | model.cm_clf.DANSwan_blocks.2.dropout                | Dropout          | 0
135 | model.cm_clf.DANSwan_blocks.2.shift                  | CircularShift    | 0
136 | model.cm_clf.DANSwan_blocks.3                        | DANSwanBlock     | 88.9 K
137 | model.cm_clf.DANSwan_blocks.3.prenorm                | Identity         | 0
138 | model.cm_clf.DANSwan_blocks.3.norm                   | Identity         | 0
139 | model.cm_clf.DANSwan_blocks.3.column_transform       | Mlp              | 88.9 K
140 | model.cm_clf.DANSwan_blocks.3.column_transform.fc1   | Linear           | 44.5 K
